<DATE>,<CLOSE>,<OPEN>,<HIGH>,<LOW>,<VOL>
20220103,102.04737975619426,102.04737975619426,102.04737975619426,102.04737975619426,1000
20220104,103.19328862305319,103.19328862305319,103.19328862305319,103.19328862305319,1000
20220105,100.85276119163488,100.85276119163488,100.85276119163488,100.85276119163488,1000
20220106,100.8905045560101,100.8905045560101,100.8905045560101,100.8905045560101,1000
20220107,101.88125330685726,101.88125330685726,101.88125330685726,101.88125330685726,1000
20220110,100.8317456422975,100.8317456422975,100.8317456422975,100.8317456422975,1000
20220111,101.28374146522252,101.28374146522252,101.28374146522252,101.28374146522252,1000
20220112,101.49929634817934,101.49929634817934,101.49929634817934,101.49929634817934,1000
20220113,101.5565796546554,101.5565796546554,101.5565796546554,101.5565796546554,1000
20220114,101.34138094156069,101.34138094156069,101.34138094156069,101.34138094156069,1000
20220117,102.05030371313788,102.05030371313788,102.05030371313788,102.05030371313788,1000
20220118,103.94288380563133,103.94288380563133,103.94288380563133,103.94288380563133,1000
20220119,102.49017961470423,102.49017961470423,102.49017961470423,102.49017961470423,1000
20220120,104.12224462869546,104.12224462869546,104.12224462869546,104.12224462869546,1000
20220121,104.53138798608477,104.53138798608477,104.53138798608477,104.53138798608477,1000
20220124,105.28161646778733,105.28161646778733,105.28161646778733,105.28161646778733,1000
20220125,103.53930750388469,103.53930750388469,103.53930750388469,103.53930750388469,1000
20220126,103.80095683982877,103.80095683982877,103.80095683982877,103.80095683982877,1000
20220127,106.1643027370702,106.1643027370702,106.1643027370702,106.1643027370702,1000
20220128,104.49783389656659,104.49783389656659,104.49783389656659,104.49783389656659,1000
20220131,101.4500579930439,101.4500579930439,101.4500579930439,101.4500579930439,1000
20220201,98.84780471420427,98.84780471420427,98.84780471420427,98.84780471420427,1000
20220202,99.29173539073241,99.29173539073241,99.29173539073241,99.29173539073241,1000
20220203,102.8934944351754,102.8934944351754,102.8934944351754,102.8934944351754,1000
20220204,104.67924897833605,104.67924897833605,104.67924897833605,104.67924897833605,1000
20220207,107.35792115952837,107.35792115952837,107.35792115952837,107.35792115952837,1000
20220208,107.57126692555816,107.57126692555816,107.57126692555816,107.57126692555816,1000
20220209,109.88081618064038,109.88081618064038,109.88081618064038,109.88081618064038,1000
20220210,109.48868233415516,109.48868233415516,109.48868233415516,109.48868233415516,1000
20220211,110.55051044835331,110.55051044835331,110.55051044835331,110.55051044835331,1000
20220214,110.16250492868527,110.16250492868527,110.16250492868527,110.16250492868527,1000
20220215,109.30988732654312,109.30988732654312,109.30988732654312,109.30988732654312,1000
20220216,109.58213720305866,109.58213720305866,109.58213720305866,109.58213720305866,1000
20220217,108.85427837754158,108.85427837754158,108.85427837754158,108.85427837754158,1000
20220218,111.04519891163783,111.04519891163783,111.04519891163783,111.04519891163783,1000
20220221,111.42555083683638,111.42555083683638,111.42555083683638,111.42555083683638,1000
20220222,112.15016788812613,112.15016788812613,112.15016788812613,112.15016788812613,1000
20220223,111.63826012274116,111.63826012274116,111.63826012274116,111.63826012274116,1000
20220224,113.79813491407414,113.79813491407414,113.79813491407414,113.79813491407414,1000
20220225,112.60558251940536,112.60558251940536,112.60558251940536,112.60558251940536,1000
20220228,113.77707168701801,113.77707168701801,113.77707168701801,113.77707168701801,1000
20220301,113.23514257768181,113.23514257768181,113.23514257768181,113.23514257768181,1000
20220302,111.69610709244651,111.69610709244651,111.69610709244651,111.69610709244651,1000
20220303,110.93209921327072,110.93209921327072,110.93209921327072,110.93209921327072,1000
20220304,109.64874049657121,109.64874049657121,109.64874049657121,109.64874049657121,1000
20220307,109.35373444395144,109.35373444395144,109.35373444395144,109.35373444395144,1000
20220308,108.85211752506427,108.85211752506427,108.85211752506427,108.85211752506427,1000
20220309,109.4162489627572,109.4162489627572,109.4162489627572,109.4162489627572,1000
20220310,110.39851036531532,110.39851036531532,110.39851036531532,110.39851036531532,1000
20220311,110.20958496773696,110.20958496773696,110.20958496773696,110.20958496773696,1000
20220314,110.22186451393641,110.22186451393641,110.22186451393641,110.22186451393641,1000
20220315,110.754942978645,110.754942978645,110.754942978645,110.754942978645,1000
20220316,109.91340631372208,109.91340631372208,109.91340631372208,109.91340631372208,1000
20220317,111.13590721695883,111.13590721695883,111.13590721695883,111.13590721695883,1000
20220318,112.59549632627814,112.59549632627814,112.59549632627814,112.59549632627814,1000
20220321,112.99562828820511,112.99562828820511,112.99562828820511,112.99562828820511,1000
20220322,117.11099178001464,117.11099178001464,117.11099178001464,117.11099178001464,1000
20220323,118.78121516724394,118.78121516724394,118.78121516724394,118.78121516724394,1000
20220324,118.64056786645347,118.64056786645347,118.64056786645347,118.64056786645347,1000
20220325,118.05534874160047,118.05534874160047,118.05534874160047,118.05534874160047,1000
20220328,117.70322105801489,117.70322105801489,117.70322105801489,117.70322105801489,1000
20220329,116.87624605484078,116.87624605484078,116.87624605484078,116.87624605484078,1000
20220330,118.913606747337,118.913606747337,118.913606747337,118.913606747337,1000
20220331,117.72837693749277,117.72837693749277,117.72837693749277,117.72837693749277,1000
20220401,117.6439853804456,117.6439853804456,117.6439853804456,117.6439853804456,1000
20220404,116.76877986691036,116.76877986691036,116.76877986691036,116.76877986691036,1000
20220405,118.65958669245151,118.65958669245151,118.65958669245151,118.65958669245151,1000
20220406,116.19403740388175,116.19403740388175,116.19403740388175,116.19403740388175,1000
20220407,115.62033076788674,115.62033076788674,115.62033076788674,115.62033076788674,1000
20220408,115.4667192882513,115.4667192882513,115.4667192882513,115.4667192882513,1000
20220411,116.07757822130102,116.07757822130102,116.07757822130102,116.07757822130102,1000
20220412,116.93812439973001,116.93812439973001,116.93812439973001,116.93812439973001,1000
20220413,116.61808248282661,116.61808248282661,116.61808248282661,116.61808248282661,1000
20220414,118.40654752552047,118.40654752552047,118.40654752552047,118.40654752552047,1000
20220415,119.02478442332887,119.02478442332887,119.02478442332887,119.02478442332887,1000
20220418,123.48997134090247,123.48997134090247,123.48997134090247,123.48997134090247,1000
20220419,120.75777766823312,120.75777766823312,120.75777766823312,120.75777766823312,1000
20220420,121.94229191033253,121.94229191033253,121.94229191033253,121.94229191033253,1000
20220421,120.09157520166912,120.09157520166912,120.09157520166912,120.09157520166912,1000
20220422,118.71410895018373,118.71410895018373,118.71410895018373,118.71410895018373,1000
20220425,122.3083292315865,122.3083292315865,122.3083292315865,122.3083292315865,1000
20220426,125.57056294574748,125.57056294574748,125.57056294574748,125.57056294574748,1000
20220427,122.1371143912394,122.1371143912394,122.1371143912394,122.1371143912394,1000
20220428,121.79004889687448,121.79004889687448,121.79004889687448,121.79004889687448,1000
20220429,121.7306497324354,121.7306497324354,121.7306497324354,121.7306497324354,1000
20220502,117.89909455718212,117.89909455718212,117.89909455718212,117.89909455718212,1000
20220503,117.87168800835668,117.87168800835668,117.87168800835668,117.87168800835668,1000
20220504,118.62608075067116,118.62608075067116,118.62608075067116,118.62608075067116,1000
20220505,119.07199348078268,119.07199348078268,119.07199348078268,119.07199348078268,1000
20220506,115.56938284829226,115.56938284829226,115.56938284829226,115.56938284829226,1000
20220509,117.54742489576344,117.54742489576344,117.54742489576344,117.54742489576344,1000
20220510,118.03738132914243,118.03738132914243,118.03738132914243,118.03738132914243,1000
20220511,117.98678101229616,117.98678101229616,117.98678101229616,117.98678101229616,1000
20220512,116.71153334780556,116.71153334780556,116.71153334780556,116.71153334780556,1000
20220513,118.01629654196184,118.01629654196184,118.01629654196184,118.01629654196184,1000
20220516,119.70086555752776,119.70086555752776,119.70086555752776,119.70086555752776,1000
20220517,118.89511150033725,118.89511150033725,118.89511150033725,118.89511150033725,1000
20220518,119.11433199390562,119.11433199390562,119.11433199390562,119.11433199390562,1000
20220519,120.65149998737701,120.65149998737701,120.65149998737701,120.65149998737701,1000
20220520,117.17460345204536,117.17460345204536,117.17460345204536,117.17460345204536,1000
20220523,117.43966821371232,117.43966821371232,117.43966821371232,117.43966821371232,1000
20220524,114.13822148671984,114.13822148671984,114.13822148671984,114.13822148671984,1000
20220525,112.61520226621109,112.61520226621109,112.61520226621109,112.61520226621109,1000
20220526,113.46502715880575,113.46502715880575,113.46502715880575,113.46502715880575,1000
20220527,113.2760509920699,113.2760509920699,113.2760509920699,113.2760509920699,1000
20220530,112.65279763211467,112.65279763211467,112.65279763211467,112.65279763211467,1000
20220531,112.20897289461772,112.20897289461772,112.20897289461772,112.20897289461772,1000
20220601,113.6927266333454,113.6927266333454,113.6927266333454,113.6927266333454,1000
20220602,114.95499522168508,114.95499522168508,114.95499522168508,114.95499522168508,1000
20220603,113.65496528447203,113.65496528447203,113.65496528447203,113.65496528447203,1000
20220606,114.21120528578206,114.21120528578206,114.21120528578206,114.21120528578206,1000
20220607,113.46173893368324,113.46173893368324,113.46173893368324,113.46173893368324,1000
20220608,117.61045426633656,117.61045426633656,117.61045426633656,117.61045426633656,1000
20220609,116.3649182652565,116.3649182652565,116.3649182652565,116.3649182652565,1000
20220610,115.87706633271084,115.87706633271084,115.87706633271084,115.87706633271084,1000
20220613,115.32859366818361,115.32859366818361,115.32859366818361,115.32859366818361,1000
20220614,114.62677378891738,114.62677378891738,114.62677378891738,114.62677378891738,1000
20220615,114.92670190911274,114.92670190911274,114.92670190911274,114.92670190911274,1000
20220616,115.45487512732349,115.45487512732349,115.45487512732349,115.45487512732349,1000
20220617,112.70952431127998,112.70952431127998,112.70952431127998,112.70952431127998,1000
20220620,111.79694905806832,111.79694905806832,111.79694905806832,111.79694905806832,1000
20220621,109.63851742726918,109.63851742726918,109.63851742726918,109.63851742726918,1000
20220622,111.72637247396506,111.72637247396506,111.72637247396506,111.72637247396506,1000
20220623,115.91386308601916,115.91386308601916,115.91386308601916,115.91386308601916,1000
20220624,118.37685688662043,118.37685688662043,118.37685688662043,118.37685688662043,1000
20220627,119.05083513424377,119.05083513424377,119.05083513424377,119.05083513424377,1000
20220628,120.93633149937747,120.93633149937747,120.93633149937747,120.93633149937747,1000
20220629,121.29940099137416,121.29940099137416,121.29940099137416,121.29940099137416,1000
20220630,124.37443170429485,124.37443170429485,124.37443170429485,124.37443170429485,1000
20220701,125.68264477824496,125.68264477824496,125.68264477824496,125.68264477824496,1000
20220704,125.31198156542176,125.31198156542176,125.31198156542176,125.31198156542176,1000
20220705,123.25144307939316,123.25144307939316,123.25144307939316,123.25144307939316,1000
20220706,122.12992408361272,122.12992408361272,122.12992408361272,122.12992408361272,1000
20220707,122.76591051225137,122.76591051225137,122.76591051225137,122.76591051225137,1000
20220708,120.5699304127977,120.5699304127977,120.5699304127977,120.5699304127977,1000
20220711,120.22909163267828,120.22909163267828,120.22909163267828,120.22909163267828,1000
20220712,122.70567802500847,122.70567802500847,122.70567802500847,122.70567802500847,1000
20220713,122.82097788333095,122.82097788333095,122.82097788333095,122.82097788333095,1000
20220714,126.5400936544275,126.5400936544275,126.5400936544275,126.5400936544275,1000
20220715,129.35023076088504,129.35023076088504,129.35023076088504,129.35023076088504,1000
20220718,128.85683191082566,128.85683191082566,128.85683191082566,128.85683191082566,1000
20220719,126.29391351628117,126.29391351628117,126.29391351628117,126.29391351628117,1000
