<DATE>,<CLOSE>,<OPEN>,<HIGH>,<LOW>,<VOL>
20220103,99.58232448976872,99.58232448976872,99.58232448976872,99.58232448976872,1000
20220104,100.72105423114604,100.72105423114604,100.72105423114604,100.72105423114604,1000
20220105,101.10050184938872,101.10050184938872,101.10050184938872,101.10050184938872,1000
20220106,99.78757262271965,99.78757262271965,99.78757262271965,99.78757262271965,1000
20220107,96.11521933596467,96.11521933596467,96.11521933596467,96.11521933596467,1000
20220110,97.47993749972001,97.47993749972001,97.47993749972001,97.47993749972001,1000
20220111,99.1766689919589,99.1766689919589,99.1766689919589,99.1766689919589,1000
20220112,96.97381648207251,96.97381648207251,96.97381648207251,96.97381648207251,1000
20220113,99.40682807987601,99.40682807987601,99.40682807987601,99.40682807987601,1000
20220114,98.81551610161559,98.81551610161559,98.81551610161559,98.81551610161559,1000
20220117,102.76509405377897,102.76509405377897,102.76509405377897,102.76509405377897,1000
20220118,103.74417140261143,103.74417140261143,103.74417140261143,103.74417140261143,1000
20220119,103.27335709083943,103.27335709083943,103.27335709083943,103.27335709083943,1000
20220120,105.24237390340916,105.24237390340916,105.24237390340916,105.24237390340916,1000
20220121,105.47042597153305,105.47042597153305,105.47042597153305,105.47042597153305,1000
20220124,105.72748574148589,105.72748574148589,105.72748574148589,105.72748574148589,1000
20220125,105.90108119988209,105.90108119988209,105.90108119988209,105.90108119988209,1000
20220126,105.70760814474347,105.70760814474347,105.70760814474347,105.70760814474347,1000
20220127,106.76609860958175,106.76609860958175,106.76609860958175,106.76609860958175,1000
20220128,108.1177387393986,108.1177387393986,108.1177387393986,108.1177387393986,1000
20220131,108.74721417607871,108.74721417607871,108.74721417607871,108.74721417607871,1000
20220201,111.75829998920752,111.75829998920752,111.75829998920752,111.75829998920752,1000
20220202,109.5402176912619,109.5402176912619,109.5402176912619,109.5402176912619,1000
20220203,108.83319260302207,108.83319260302207,108.83319260302207,108.83319260302207,1000
20220204,110.23385485989812,110.23385485989812,110.23385485989812,110.23385485989812,1000
20220207,108.34373313135434,108.34373313135434,108.34373313135434,108.34373313135434,1000
20220208,110.94044475038902,110.94044475038902,110.94044475038902,110.94044475038902,1000
20220209,112.18193227521841,112.18193227521841,112.18193227521841,112.18193227521841,1000
20220210,111.93343819281476,111.93343819281476,111.93343819281476,111.93343819281476,1000
20220211,112.88632675560999,112.88632675560999,112.88632675560999,112.88632675560999,1000
20220214,111.94946118507102,111.94946118507102,111.94946118507102,111.94946118507102,1000
20220215,109.51704579072037,109.51704579072037,109.51704579072037,109.51704579072037,1000
20220216,110.98005271385149,110.98005271385149,110.98005271385149,110.98005271385149,1000
20220217,112.60552037020429,112.60552037020429,112.60552037020429,112.60552037020429,1000
20220218,112.85512418925592,112.85512418925592,112.85512418925592,112.85512418925592,1000
20220221,112.8743828875445,112.8743828875445,112.8743828875445,112.8743828875445,1000
20220222,109.32931815899289,109.32931815899289,109.32931815899289,109.32931815899289,1000
20220223,108.01560482458812,108.01560482458812,108.01560482458812,108.01560482458812,1000
20220224,107.31538020225024,107.31538020225024,107.31538020225024,107.31538020225024,1000
20220225,107.74524900593147,107.74524900593147,107.74524900593147,107.74524900593147,1000
20220228,110.0375861099828,110.0375861099828,110.0375861099828,110.0375861099828,1000
20220301,109.23492724861303,109.23492724861303,109.23492724861303,109.23492724861303,1000
20220302,108.01124678065752,108.01124678065752,108.01124678065752,108.01124678065752,1000
20220303,109.61350115371637,109.61350115371637,109.61350115371637,109.61350115371637,1000
20220304,109.45992763251353,109.45992763251353,109.45992763251353,109.45992763251353,1000
20220307,107.26753368736101,107.26753368736101,107.26753368736101,107.26753368736101,1000
20220308,109.28171866023482,109.28171866023482,109.28171866023482,109.28171866023482,1000
20220309,107.93072105563202,107.93072105563202,107.93072105563202,107.93072105563202,1000
20220310,107.07568706795476,107.07568706795476,107.07568706795476,107.07568706795476,1000
20220311,105.46925211159535,105.46925211159535,105.46925211159535,105.46925211159535,1000
20220314,106.08957630338092,106.08957630338092,106.08957630338092,106.08957630338092,1000
20220315,107.85121707140044,107.85121707140044,107.85121707140044,107.85121707140044,1000
20220316,107.29766305674275,107.29766305674275,107.29766305674275,107.29766305674275,1000
20220317,107.98925160278377,107.98925160278377,107.98925160278377,107.98925160278377,1000
20220318,107.27957926946121,107.27957926946121,107.27957926946121,107.27957926946121,1000
20220321,111.09327360421439,111.09327360421439,111.09327360421439,111.09327360421439,1000
20220322,113.65306070370347,113.65306070370347,113.65306070370347,113.65306070370347,1000
20220323,112.69474994023851,112.69474994023851,112.69474994023851,112.69474994023851,1000
20220324,113.64421626389462,113.64421626389462,113.64421626389462,113.64421626389462,1000
20220325,115.30312316022537,115.30312316022537,115.30312316022537,115.30312316022537,1000
20220328,116.0980552685138,116.0980552685138,116.0980552685138,116.0980552685138,1000
20220329,114.83579594432287,114.83579594432287,114.83579594432287,114.83579594432287,1000
20220330,114.61353072757265,114.61353072757265,114.61353072757265,114.61353072757265,1000
20220331,115.92037132972264,115.92037132972264,115.92037132972264,115.92037132972264,1000
20220401,116.75050545524563,116.75050545524563,116.75050545524563,116.75050545524563,1000
20220404,115.30836356482605,115.30836356482605,115.30836356482605,115.30836356482605,1000
20220405,116.13903652548593,116.13903652548593,116.13903652548593,116.13903652548593,1000
20220406,114.42950244972472,114.42950244972472,114.42950244972472,114.42950244972472,1000
20220407,110.82670662057336,110.82670662057336,110.82670662057336,110.82670662057336,1000
20220408,111.17115004229167,111.17115004229167,111.17115004229167,111.17115004229167,1000
20220411,112.8129276791373,112.8129276791373,112.8129276791373,112.8129276791373,1000
20220412,113.61711021261729,113.61711021261729,113.61711021261729,113.61711021261729,1000
20220413,116.17750143394068,116.17750143394068,116.17750143394068,116.17750143394068,1000
20220414,119.28440676019146,119.28440676019146,119.28440676019146,119.28440676019146,1000
20220415,119.97660932071348,119.97660932071348,119.97660932071348,119.97660932071348,1000
20220418,118.87881622020913,118.87881622020913,118.87881622020913,118.87881622020913,1000
20220419,118.85402335253889,118.85402335253889,118.85402335253889,118.85402335253889,1000
20220420,116.33008723489895,116.33008723489895,116.33008723489895,116.33008723489895,1000
20220421,116.32510289933802,116.32510289933802,116.32510289933802,116.32510289933802,1000
20220422,116.2247486761476,116.2247486761476,116.2247486761476,116.2247486761476,1000
20220425,116.59020055728043,116.59020055728043,116.59020055728043,116.59020055728043,1000
20220426,118.56282586244924,118.56282586244924,118.56282586244924,118.56282586244924,1000
20220427,114.84029472832098,114.84029472832098,114.84029472832098,114.84029472832098,1000
20220428,116.19216395644403,116.19216395644403,116.19216395644403,116.19216395644403,1000
20220429,115.30804550436685,115.30804550436685,115.30804550436685,115.30804550436685,1000
20220502,116.73767331954805,116.73767331954805,116.73767331954805,116.73767331954805,1000
20220503,117.10012047312424,117.10012047312424,117.10012047312424,117.10012047312424,1000
20220504,115.33992833893399,115.33992833893399,115.33992833893399,115.33992833893399,1000
20220505,116.91016910501406,116.91016910501406,116.91016910501406,116.91016910501406,1000
20220506,115.67167174055879,115.67167174055879,115.67167174055879,115.67167174055879,1000
20220509,116.63685702506415,116.63685702506415,116.63685702506415,116.63685702506415,1000
20220510,115.65965626597416,115.65965626597416,115.65965626597416,115.65965626597416,1000
20220511,114.88909617582796,114.88909617582796,114.88909617582796,114.88909617582796,1000
20220512,115.1404672162017,115.1404672162017,115.1404672162017,115.1404672162017,1000
20220513,118.48773126421403,118.48773126421403,118.48773126421403,118.48773126421403,1000
20220516,119.78070460137002,119.78070460137002,119.78070460137002,119.78070460137002,1000
20220517,119.80541295639753,119.80541295639753,119.80541295639753,119.80541295639753,1000
20220518,122.85357928189318,122.85357928189318,122.85357928189318,122.85357928189318,1000
20220519,122.97141139710506,122.97141139710506,122.97141139710506,122.97141139710506,1000
20220520,122.48413864427812,122.48413864427812,122.48413864427812,122.48413864427812,1000
20220523,120.7666581465008,120.7666581465008,120.7666581465008,120.7666581465008,1000
20220524,121.12968283680677,121.12968283680677,121.12968283680677,121.12968283680677,1000
20220525,121.40210706471241,121.40210706471241,121.40210706471241,121.40210706471241,1000
20220526,120.22039596698397,120.22039596698397,120.22039596698397,120.22039596698397,1000
20220527,116.8289404559111,116.8289404559111,116.8289404559111,116.8289404559111,1000
20220530,116.64218533813057,116.64218533813057,116.64218533813057,116.64218533813057,1000
20220531,116.90158225521134,116.90158225521134,116.90158225521134,116.90158225521134,1000
20220601,116.26738303266542,116.26738303266542,116.26738303266542,116.26738303266542,1000
20220602,114.66292291504692,114.66292291504692,114.66292291504692,114.66292291504692,1000
20220603,112.87505157093973,112.87505157093973,112.87505157093973,112.87505157093973,1000
20220606,112.11126175628851,112.11126175628851,112.11126175628851,112.11126175628851,1000
20220607,114.4593276269785,114.4593276269785,114.4593276269785,114.4593276269785,1000
20220608,114.77870538337702,114.77870538337702,114.77870538337702,114.77870538337702,1000
20220609,112.02524355673735,112.02524355673735,112.02524355673735,112.02524355673735,1000
20220610,113.16224619589967,113.16224619589967,113.16224619589967,113.16224619589967,1000
20220613,112.45855517363832,112.45855517363832,112.45855517363832,112.45855517363832,1000
20220614,116.46045059807382,116.46045059807382,116.46045059807382,116.46045059807382,1000
20220615,115.97133499315049,115.97133499315049,115.97133499315049,115.97133499315049,1000
20220616,115.92561173499776,115.92561173499776,115.92561173499776,115.92561173499776,1000
20220617,116.32121078064822,116.32121078064822,116.32121078064822,116.32121078064822,1000
20220620,116.87992359621828,116.87992359621828,116.87992359621828,116.87992359621828,1000
20220621,117.02928391186647,117.02928391186647,117.02928391186647,117.02928391186647,1000
