<DATE>,<CLOSE>,<OPEN>,<HIGH>,<LOW>,<VOL>
20220103,100.38150489402322,100.38150489402322,100.38150489402322,100.38150489402322,1000
20220104,99.91904979699513,99.91904979699513,99.91904979699513,99.91904979699513,1000
20220105,99.10308804184923,99.10308804184923,99.10308804184923,99.10308804184923,1000
20220106,98.5520279642868,98.5520279642868,98.5520279642868,98.5520279642868,1000
20220107,97.70947303115796,97.70947303115796,97.70947303115796,97.70947303115796,1000
20220110,97.40092760307365,97.40092760307365,97.40092760307365,97.40092760307365,1000
20220111,98.9622796732078,98.9622796732078,98.9622796732078,98.9622796732078,1000
20220112,99.87385103538014,99.87385103538014,99.87385103538014,99.87385103538014,1000
20220113,100.3019309396003,100.3019309396003,100.3019309396003,100.3019309396003,1000
20220114,98.15163915749825,98.15163915749825,98.15163915749825,98.15163915749825,1000
20220117,95.92113139537574,95.92113139537574,95.92113139537574,95.92113139537574,1000
20220118,96.35077086469927,96.35077086469927,96.35077086469927,96.35077086469927,1000
20220119,96.39765099478453,96.39765099478453,96.39765099478453,96.39765099478453,1000
20220120,94.97676060638585,94.97676060638585,94.97676060638585,94.97676060638585,1000
20220121,95.18379513709593,95.18379513709593,95.18379513709593,95.18379513709593,1000
20220124,93.5295692351369,93.5295692351369,93.5295692351369,93.5295692351369,1000
20220125,95.75867428303447,95.75867428303447,95.75867428303447,95.75867428303447,1000
20220126,94.46598017299007,94.46598017299007,94.46598017299007,94.46598017299007,1000
20220127,95.25930677336075,95.25930677336075,95.25930677336075,95.25930677336075,1000
20220128,95.09265359573527,95.09265359573527,95.09265359573527,95.09265359573527,1000
20220131,95.88589618048613,95.88589618048613,95.88589618048613,95.88589618048613,1000
20220201,97.86424496880755,97.86424496880755,97.86424496880755,97.86424496880755,1000
20220202,100.20102970210813,100.20102970210813,100.20102970210813,100.20102970210813,1000
20220203,102.13890871169555,102.13890871169555,102.13890871169555,102.13890871169555,1000
20220204,103.58203441596301,103.58203441596301,103.58203441596301,103.58203441596301,1000
20220207,102.32729129829931,102.32729129829931,102.32729129829931,102.32729129829931,1000
20220208,103.92193693155922,103.92193693155922,103.92193693155922,103.92193693155922,1000
20220209,102.3779621998677,102.3779621998677,102.3779621998677,102.3779621998677,1000
20220210,102.70829582231124,102.70829582231124,102.70829582231124,102.70829582231124,1000
20220211,102.11770112292756,102.11770112292756,102.11770112292756,102.11770112292756,1000
20220214,105.19921827400896,105.19921827400896,105.19921827400896,105.19921827400896,1000
20220215,108.27752310027525,108.27752310027525,108.27752310027525,108.27752310027525,1000
20220216,106.65713859920069,106.65713859920069,106.65713859920069,106.65713859920069,1000
20220217,105.93723718159735,105.93723718159735,105.93723718159735,105.93723718159735,1000
20220218,104.96513566933436,104.96513566933436,104.96513566933436,104.96513566933436,1000
20220221,105.11263502417079,105.11263502417079,105.11263502417079,105.11263502417079,1000
20220222,106.0291075249812,106.0291075249812,106.0291075249812,106.0291075249812,1000
20220223,107.42627714098884,107.42627714098884,107.42627714098884,107.42627714098884,1000
20220224,105.53474535167351,105.53474535167351,105.53474535167351,105.53474535167351,1000
20220225,106.1808929170574,106.1808929170574,106.1808929170574,106.1808929170574,1000
20220228,107.73487337118432,107.73487337118432,107.73487337118432,107.73487337118432,1000
20220301,107.22109018368293,107.22109018368293,107.22109018368293,107.22109018368293,1000
20220302,108.01410009328418,108.01410009328418,108.01410009328418,108.01410009328418,1000
20220303,107.98949988626465,107.98949988626465,107.98949988626465,107.98949988626465,1000
20220304,108.71650989370289,108.71650989370289,108.71650989370289,108.71650989370289,1000
20220307,107.62628529154621,107.62628529154621,107.62628529154621,107.62628529154621,1000
20220308,107.9795112055927,107.9795112055927,107.9795112055927,107.9795112055927,1000
20220309,108.79208366296709,108.79208366296709,108.79208366296709,108.79208366296709,1000
20220310,108.91097711964919,108.91097711964919,108.91097711964919,108.91097711964919,1000
20220311,110.13536609824841,110.13536609824841,110.13536609824841,110.13536609824841,1000
20220314,109.39466986140856,109.39466986140856,109.39466986140856,109.39466986140856,1000
20220315,109.3632333511831,109.3632333511831,109.3632333511831,109.3632333511831,1000
20220316,108.97125602153798,108.97125602153798,108.97125602153798,108.97125602153798,1000
20220317,109.52916475679606,109.52916475679606,109.52916475679606,109.52916475679606,1000
20220318,106.69128557459211,106.69128557459211,106.69128557459211,106.69128557459211,1000
20220321,108.58541429832262,108.58541429832262,108.58541429832262,108.58541429832262,1000
20220322,108.28507073062035,108.28507073062035,108.28507073062035,108.28507073062035,1000
20220323,106.35664240482112,106.35664240482112,106.35664240482112,106.35664240482112,1000
20220324,105.86163396581847,105.86163396581847,105.86163396581847,105.86163396581847,1000
