<DATE>,<CLOSE>,<OPEN>,<HIGH>,<LOW>,<VOL>
20220103,100.18680707492973,100.18680707492973,100.18680707492973,100.18680707492973,1000
20220104,101.8768824684052,101.8768824684052,101.8768824684052,101.8768824684052,1000
20220105,98.95255192951295,98.95255192951295,98.95255192951295,98.95255192951295,1000
20220106,96.94428584426072,96.94428584426072,96.94428584426072,96.94428584426072,1000
20220107,93.65328195305699,93.65328195305699,93.65328195305699,93.65328195305699,1000
20220110,97.08544196609841,97.08544196609841,97.08544196609841,97.08544196609841,1000
20220111,99.65020075815534,99.65020075815534,99.65020075815534,99.65020075815534,1000
20220112,102.99529300361449,102.99529300361449,102.99529300361449,102.99529300361449,1000
20220113,104.27474323414721,104.27474323414721,104.27474323414721,104.27474323414721,1000
20220114,105.85412149249846,105.85412149249846,105.85412149249846,105.85412149249846,1000
20220117,104.02798893777508,104.02798893777508,104.02798893777508,104.02798893777508,1000
20220118,107.07033471940706,107.07033471940706,107.07033471940706,107.07033471940706,1000
20220119,105.3197452387524,105.3197452387524,105.3197452387524,105.3197452387524,1000
20220120,104.32336441408037,104.32336441408037,104.32336441408037,104.32336441408037,1000
20220121,103.78345151105115,103.78345151105115,103.78345151105115,103.78345151105115,1000
20220124,102.60299475963546,102.60299475963546,102.60299475963546,102.60299475963546,1000
20220125,103.97717940914359,103.97717940914359,103.97717940914359,103.97717940914359,1000
20220126,103.66921616700925,103.66921616700925,103.66921616700925,103.66921616700925,1000
20220127,103.61894536534761,103.61894536534761,103.61894536534761,103.61894536534761,1000
20220128,103.34647483891115,103.34647483891115,103.34647483891115,103.34647483891115,1000
20220131,105.48605985821978,105.48605985821978,105.48605985821978,105.48605985821978,1000
20220201,104.57842700145197,104.57842700145197,104.57842700145197,104.57842700145197,1000
20220202,104.35737715359117,104.35737715359117,104.35737715359117,104.35737715359117,1000
20220203,105.0733492533248,105.0733492533248,105.0733492533248,105.0733492533248,1000
20220204,102.53164053067651,102.53164053067651,102.53164053067651,102.53164053067651,1000
20220207,101.83923264798631,101.83923264798631,101.83923264798631,101.83923264798631,1000
20220208,102.7081273996448,102.7081273996448,102.7081273996448,102.7081273996448,1000
20220209,104.55606304794993,104.55606304794993,104.55606304794993,104.55606304794993,1000
20220210,104.86191531914999,104.86191531914999,104.86191531914999,104.86191531914999,1000
20220211,103.85602646254,103.85602646254,103.85602646254,103.85602646254,1000
20220214,106.15517684166574,106.15517684166574,106.15517684166574,106.15517684166574,1000
20220215,105.85558472877953,105.85558472877953,105.85558472877953,105.85558472877953,1000
20220216,105.9581550542398,105.9581550542398,105.9581550542398,105.9581550542398,1000
20220217,106.30028798422863,106.30028798422863,106.30028798422863,106.30028798422863,1000
20220218,106.25309799661251,106.25309799661251,106.25309799661251,106.25309799661251,1000
20220221,105.44307464584783,105.44307464584783,105.44307464584783,105.44307464584783,1000
20220222,106.24631639753885,106.24631639753885,106.24631639753885,106.24631639753885,1000
20220223,104.44343672352944,104.44343672352944,104.44343672352944,104.44343672352944,1000
20220224,103.71090796831568,103.71090796831568,103.71090796831568,103.71090796831568,1000
20220225,103.12718000185816,103.12718000185816,103.12718000185816,103.12718000185816,1000
20220228,101.73339292364527,101.73339292364527,101.73339292364527,101.73339292364527,1000
20220301,101.913222190676,101.913222190676,101.913222190676,101.913222190676,1000
20220302,102.18383902144706,102.18383902144706,102.18383902144706,102.18383902144706,1000
20220303,102.35072992023181,102.35072992023181,102.35072992023181,102.35072992023181,1000
20220304,102.16294944679089,102.16294944679089,102.16294944679089,102.16294944679089,1000
20220307,103.05817791834207,103.05817791834207,103.05817791834207,103.05817791834207,1000
20220308,105.74082859720919,105.74082859720919,105.74082859720919,105.74082859720919,1000
20220309,107.38947673781026,107.38947673781026,107.38947673781026,107.38947673781026,1000
20220310,102.3933105742822,102.3933105742822,102.3933105742822,102.3933105742822,1000
20220311,104.19471634365023,104.19471634365023,104.19471634365023,104.19471634365023,1000
20220314,101.32446549498589,101.32446549498589,101.32446549498589,101.32446549498589,1000
20220315,98.67111256609694,98.67111256609694,98.67111256609694,98.67111256609694,1000
20220316,98.90954573068778,98.90954573068778,98.90954573068778,98.90954573068778,1000
20220317,96.95457221011046,96.95457221011046,96.95457221011046,96.95457221011046,1000
20220318,99.2630128712245,99.2630128712245,99.2630128712245,99.2630128712245,1000
20220321,100.3503881829815,100.3503881829815,100.3503881829815,100.3503881829815,1000
20220322,99.17910675223528,99.17910675223528,99.17910675223528,99.17910675223528,1000
20220323,96.78405391617117,96.78405391617117,96.78405391617117,96.78405391617117,1000
20220324,97.31248352910026,97.31248352910026,97.31248352910026,97.31248352910026,1000
20220325,99.14919282016807,99.14919282016807,99.14919282016807,99.14919282016807,1000
20220328,99.34179741759644,99.34179741759644,99.34179741759644,99.34179741759644,1000
20220329,102.18816157538136,102.18816157538136,102.18816157538136,102.18816157538136,1000
20220330,103.05744650525408,103.05744650525408,103.05744650525408,103.05744650525408,1000
20220331,104.34312943679399,104.34312943679399,104.34312943679399,104.34312943679399,1000
20220401,103.91624943439805,103.91624943439805,103.91624943439805,103.91624943439805,1000
20220404,104.55737199038737,104.55737199038737,104.55737199038737,104.55737199038737,1000
20220405,104.2544514358272,104.2544514358272,104.2544514358272,104.2544514358272,1000
20220406,101.35761971889347,101.35761971889347,101.35761971889347,101.35761971889347,1000
20220407,105.16741593557184,105.16741593557184,105.16741593557184,105.16741593557184,1000
20220408,104.9883317267411,104.9883317267411,104.9883317267411,104.9883317267411,1000
20220411,105.22295313758427,105.22295313758427,105.22295313758427,105.22295313758427,1000
20220412,107.3754421995015,107.3754421995015,107.3754421995015,107.3754421995015,1000
20220413,107.60564663112655,107.60564663112655,107.60564663112655,107.60564663112655,1000
20220414,108.00725092754307,108.00725092754307,108.00725092754307,108.00725092754307,1000
