<DATE>,<CLOSE>,<OPEN>,<HIGH>,<LOW>,<VOL>
20220103,102.48651804549486,102.48651804549486,102.48651804549486,102.48651804549486,1000
20220104,101.59730953361267,101.59730953361267,101.59730953361267,101.59730953361267,1000
20220105,100.84319575335516,100.84319575335516,100.84319575335516,100.84319575335516,1000
20220106,99.2705935792123,99.2705935792123,99.2705935792123,99.2705935792123,1000
20220107,100.6088718117675,100.6088718117675,100.6088718117675,100.6088718117675,1000
20220110,97.18584807180962,97.18584807180962,97.18584807180962,97.18584807180962,1000
20220111,99.77800616131127,99.77800616131127,99.77800616131127,99.77800616131127,1000
20220112,98.68861956167875,98.68861956167875,98.68861956167875,98.68861956167875,1000
20220113,99.21024679110081,99.21024679110081,99.21024679110081,99.21024679110081,1000
20220114,98.88875046709381,98.88875046709381,98.88875046709381,98.88875046709381,1000
20220117,101.10698524646334,101.10698524646334,101.10698524646334,101.10698524646334,1000
20220118,98.0331194942743,98.0331194942743,98.0331194942743,98.0331194942743,1000
20220119,97.60802258970045,97.60802258970045,97.60802258970045,97.60802258970045,1000
20220120,97.09452480910309,97.09452480910309,97.09452480910309,97.09452480910309,1000
20220121,98.79431415020726,98.79431415020726,98.79431415020726,98.79431415020726,1000
20220124,97.21376625637099,97.21376625637099,97.21376625637099,97.21376625637099,1000
20220125,97.01093720752696,97.01093720752696,97.01093720752696,97.01093720752696,1000
20220126,95.7820146582597,95.7820146582597,95.7820146582597,95.7820146582597,1000
20220127,95.89055543118921,95.89055543118921,95.89055543118921,95.89055543118921,1000
20220128,96.77679782725917,96.77679782725917,96.77679782725917,96.77679782725917,1000
20220131,95.22747023220371,95.22747023220371,95.22747023220371,95.22747023220371,1000
20220201,96.91022111236256,96.91022111236256,96.91022111236256,96.91022111236256,1000
20220202,98.26927656420126,98.26927656420126,98.26927656420126,98.26927656420126,1000
20220203,99.05910752990577,99.05910752990577,99.05910752990577,99.05910752990577,1000
20220204,100.44720687887782,100.44720687887782,100.44720687887782,100.44720687887782,1000
20220207,99.46725217652723,99.46725217652723,99.46725217652723,99.46725217652723,1000
20220208,99.33363250684009,99.33363250684009,99.33363250684009,99.33363250684009,1000
20220209,97.98899866668614,97.98899866668614,97.98899866668614,97.98899866668614,1000
20220210,97.64424189586008,97.64424189586008,97.64424189586008,97.64424189586008,1000
20220211,98.46985637908261,98.46985637908261,98.46985637908261,98.46985637908261,1000
20220214,97.49747528399058,97.49747528399058,97.49747528399058,97.49747528399058,1000
20220215,96.96598701395541,96.96598701395541,96.96598701395541,96.96598701395541,1000
20220216,96.01498432072026,96.01498432072026,96.01498432072026,96.01498432072026,1000
20220217,94.84570571663636,94.84570571663636,94.84570571663636,94.84570571663636,1000
20220218,93.93815637466298,93.93815637466298,93.93815637466298,93.93815637466298,1000
20220221,93.96728011674533,93.96728011674533,93.96728011674533,93.96728011674533,1000
20220222,92.43940453919045,92.43940453919045,92.43940453919045,92.43940453919045,1000
20220223,92.8106629542728,92.8106629542728,92.8106629542728,92.8106629542728,1000
20220224,95.16777839220764,95.16777839220764,95.16777839220764,95.16777839220764,1000
20220225,96.27464269486956,96.27464269486956,96.27464269486956,96.27464269486956,1000
20220228,96.04574652732019,96.04574652732019,96.04574652732019,96.04574652732019,1000
20220301,94.81497460316184,94.81497460316184,94.81497460316184,94.81497460316184,1000
20220302,93.79975517076552,93.79975517076552,93.79975517076552,93.79975517076552,1000
20220303,96.22793245656148,96.22793245656148,96.22793245656148,96.22793245656148,1000
20220304,96.34938330071262,96.34938330071262,96.34938330071262,96.34938330071262,1000
20220307,95.47694592668003,95.47694592668003,95.47694592668003,95.47694592668003,1000
20220308,95.7981048107358,95.7981048107358,95.7981048107358,95.7981048107358,1000
20220309,98.86401078854648,98.86401078854648,98.86401078854648,98.86401078854648,1000
20220310,99.09163373355801,99.09163373355801,99.09163373355801,99.09163373355801,1000
20220311,100.0585745177199,100.0585745177199,100.0585745177199,100.0585745177199,1000
20220314,100.55912301988839,100.55912301988839,100.55912301988839,100.55912301988839,1000
20220315,100.07807354668915,100.07807354668915,100.07807354668915,100.07807354668915,1000
20220316,98.41299727971115,98.41299727971115,98.41299727971115,98.41299727971115,1000
20220317,97.94650581249343,97.94650581249343,97.94650581249343,97.94650581249343,1000
20220318,97.68857216174808,97.68857216174808,97.68857216174808,97.68857216174808,1000
20220321,98.59701217698232,98.59701217698232,98.59701217698232,98.59701217698232,1000
20220322,99.88712955118187,99.88712955118187,99.88712955118187,99.88712955118187,1000
20220323,101.33214982926562,101.33214982926562,101.33214982926562,101.33214982926562,1000
20220324,101.8169035686603,101.8169035686603,101.8169035686603,101.8169035686603,1000
20220325,103.21964700895268,103.21964700895268,103.21964700895268,103.21964700895268,1000
20220328,102.10322649484782,102.10322649484782,102.10322649484782,102.10322649484782,1000
20220329,104.07310632342475,104.07310632342475,104.07310632342475,104.07310632342475,1000
20220330,104.92587587263876,104.92587587263876,104.92587587263876,104.92587587263876,1000
20220331,104.5091740333574,104.5091740333574,104.5091740333574,104.5091740333574,1000
20220401,105.32724804029819,105.32724804029819,105.32724804029819,105.32724804029819,1000
20220404,105.26051525588534,105.26051525588534,105.26051525588534,105.26051525588534,1000
20220405,107.09988389954086,107.09988389954086,107.09988389954086,107.09988389954086,1000
20220406,109.59501691030144,109.59501691030144,109.59501691030144,109.59501691030144,1000
20220407,113.2427370233227,113.2427370233227,113.2427370233227,113.2427370233227,1000
20220408,110.9272123827286,110.9272123827286,110.9272123827286,110.9272123827286,1000
20220411,108.5798032069242,108.5798032069242,108.5798032069242,108.5798032069242,1000
20220412,107.81247104667759,107.81247104667759,107.81247104667759,107.81247104667759,1000
20220413,108.12518716094452,108.12518716094452,108.12518716094452,108.12518716094452,1000
20220414,109.60028868322942,109.60028868322942,109.60028868322942,109.60028868322942,1000
20220415,110.17399404761396,110.17399404761396,110.17399404761396,110.17399404761396,1000
20220418,106.8871712739087,106.8871712739087,106.8871712739087,106.8871712739087,1000
20220419,106.44967564840715,106.44967564840715,106.44967564840715,106.44967564840715,1000
20220420,107.82496496849106,107.82496496849106,107.82496496849106,107.82496496849106,1000
20220421,108.25102680267679,108.25102680267679,108.25102680267679,108.25102680267679,1000
20220422,109.54247970663657,109.54247970663657,109.54247970663657,109.54247970663657,1000
20220425,109.23193530573825,109.23193530573825,109.23193530573825,109.23193530573825,1000
20220426,108.95761338742913,108.95761338742913,108.95761338742913,108.95761338742913,1000
20220427,109.31700145280769,109.31700145280769,109.31700145280769,109.31700145280769,1000
20220428,110.04404420123797,110.04404420123797,110.04404420123797,110.04404420123797,1000
20220429,110.42639177083944,110.42639177083944,110.42639177083944,110.42639177083944,1000
20220502,110.67873039691563,110.67873039691563,110.67873039691563,110.67873039691563,1000
20220503,109.62064900654065,109.62064900654065,109.62064900654065,109.62064900654065,1000
20220504,110.29629114051191,110.29629114051191,110.29629114051191,110.29629114051191,1000
20220505,110.55298580166786,110.55298580166786,110.55298580166786,110.55298580166786,1000
20220506,112.48127957108768,112.48127957108768,112.48127957108768,112.48127957108768,1000
