<DATE>,<CLOSE>,<OPEN>,<HIGH>,<LOW>,<VOL>
20220103,100.46439883503197,100.46439883503197,100.46439883503197,100.46439883503197,1000
20220104,97.7197696094515,97.7197696094515,97.7197696094515,97.7197696094515,1000
20220105,98.6831415871246,98.6831415871246,98.6831415871246,98.6831415871246,1000
20220106,100.4278269001708,100.4278269001708,100.4278269001708,100.4278269001708,1000
20220107,102.04048258570634,102.04048258570634,102.04048258570634,102.04048258570634,1000
20220110,104.97920602989763,104.97920602989763,104.97920602989763,104.97920602989763,1000
20220111,104.85580566572337,104.85580566572337,104.85580566572337,104.85580566572337,1000
20220112,104.3387071549992,104.3387071549992,104.3387071549992,104.3387071549992,1000
20220113,104.62356493837018,104.62356493837018,104.62356493837018,104.62356493837018,1000
20220114,103.98884020954877,103.98884020954877,103.98884020954877,103.98884020954877,1000
20220117,107.4276320841673,107.4276320841673,107.4276320841673,107.4276320841673,1000
20220118,109.33819532497158,109.33819532497158,109.33819532497158,109.33819532497158,1000
20220119,106.40987954042164,106.40987954042164,106.40987954042164,106.40987954042164,1000
20220120,106.24273727423518,106.24273727423518,106.24273727423518,106.24273727423518,1000
20220121,107.1561692168519,107.1561692168519,107.1561692168519,107.1561692168519,1000
20220124,104.35626056398446,104.35626056398446,104.35626056398446,104.35626056398446,1000
20220125,106.46667267008347,106.46667267008347,106.46667267008347,106.46667267008347,1000
20220126,105.76380943260666,105.76380943260666,105.76380943260666,105.76380943260666,1000
20220127,104.0839154111664,104.0839154111664,104.0839154111664,104.0839154111664,1000
20220128,103.74559984242744,103.74559984242744,103.74559984242744,103.74559984242744,1000
20220131,102.26884196614438,102.26884196614438,102.26884196614438,102.26884196614438,1000
20220201,103.90197682477718,103.90197682477718,103.90197682477718,103.90197682477718,1000
20220202,104.71968607154017,104.71968607154017,104.71968607154017,104.71968607154017,1000
20220203,104.07045553192032,104.07045553192032,104.07045553192032,104.07045553192032,1000
20220204,102.86371684398534,102.86371684398534,102.86371684398534,102.86371684398534,1000
20220207,103.1176890452821,103.1176890452821,103.1176890452821,103.1176890452821,1000
20220208,101.29370174564988,101.29370174564988,101.29370174564988,101.29370174564988,1000
20220209,101.58743958345613,101.58743958345613,101.58743958345613,101.58743958345613,1000
20220210,100.48741568567878,100.48741568567878,100.48741568567878,100.48741568567878,1000
20220211,101.06506155408064,101.06506155408064,101.06506155408064,101.06506155408064,1000
20220214,102.59752386360105,102.59752386360105,102.59752386360105,102.59752386360105,1000
20220215,102.43554507337504,102.43554507337504,102.43554507337504,102.43554507337504,1000
20220216,102.64634150430886,102.64634150430886,102.64634150430886,102.64634150430886,1000
20220217,103.16048322717344,103.16048322717344,103.16048322717344,103.16048322717344,1000
20220218,104.71027136115592,104.71027136115592,104.71027136115592,104.71027136115592,1000
20220221,106.12850472408446,106.12850472408446,106.12850472408446,106.12850472408446,1000
20220222,107.08543852968447,107.08543852968447,107.08543852968447,107.08543852968447,1000
20220223,107.88635570586626,107.88635570586626,107.88635570586626,107.88635570586626,1000
20220224,106.05438105899164,106.05438105899164,106.05438105899164,106.05438105899164,1000
20220225,102.86851573842392,102.86851573842392,102.86851573842392,102.86851573842392,1000
20220228,101.13711523574729,101.13711523574729,101.13711523574729,101.13711523574729,1000
20220301,106.26247732731532,106.26247732731532,106.26247732731532,106.26247732731532,1000
20220302,106.517603777155,106.517603777155,106.517603777155,106.517603777155,1000
20220303,105.46172848941976,105.46172848941976,105.46172848941976,105.46172848941976,1000
20220304,106.39665899491506,106.39665899491506,106.39665899491506,106.39665899491506,1000
20220307,106.60809032923721,106.60809032923721,106.60809032923721,106.60809032923721,1000
20220308,107.68151574250129,107.68151574250129,107.68151574250129,107.68151574250129,1000
20220309,108.8710368583904,108.8710368583904,108.8710368583904,108.8710368583904,1000
20220310,107.42943220415151,107.42943220415151,107.42943220415151,107.42943220415151,1000
20220311,106.21653098690756,106.21653098690756,106.21653098690756,106.21653098690756,1000
20220314,108.05277337182098,108.05277337182098,108.05277337182098,108.05277337182098,1000
20220315,106.51291960480546,106.51291960480546,106.51291960480546,106.51291960480546,1000
20220316,106.95684418467903,106.95684418467903,106.95684418467903,106.95684418467903,1000
20220317,106.07753634473059,106.07753634473059,106.07753634473059,106.07753634473059,1000
20220318,106.81408131974419,106.81408131974419,106.81408131974419,106.81408131974419,1000
20220321,108.14669698404735,108.14669698404735,108.14669698404735,108.14669698404735,1000
20220322,107.21111442215462,107.21111442215462,107.21111442215462,107.21111442215462,1000
20220323,109.17104757066886,109.17104757066886,109.17104757066886,109.17104757066886,1000
20220324,108.06159569907743,108.06159569907743,108.06159569907743,108.06159569907743,1000
