<DATE>,<CLOSE>,<OPEN>,<HIGH>,<LOW>,<VOL>
20220103,100.05166283206832,100.05166283206832,100.05166283206832,100.05166283206832,1000
20220104,99.66714817960968,99.66714817960968,99.66714817960968,99.66714817960968,1000
20220105,98.04845456961263,98.04845456961263,98.04845456961263,98.04845456961263,1000
20220106,98.07853178105461,98.07853178105461,98.07853178105461,98.07853178105461,1000
20220107,97.5709339935645,97.5709339935645,97.5709339935645,97.5709339935645,1000
20220110,96.91554705956278,96.91554705956278,96.91554705956278,96.91554705956278,1000
20220111,94.75821011413986,94.75821011413986,94.75821011413986,94.75821011413986,1000
20220112,94.10787696416062,94.10787696416062,94.10787696416062,94.10787696416062,1000
20220113,93.81518182860181,93.81518182860181,93.81518182860181,93.81518182860181,1000
20220114,92.95027978757506,92.95027978757506,92.95027978757506,92.95027978757506,1000
20220117,93.88334873481934,93.88334873481934,93.88334873481934,93.88334873481934,1000
20220118,96.38081100636047,96.38081100636047,96.38081100636047,96.38081100636047,1000
20220119,96.8579185031765,96.8579185031765,96.8579185031765,96.8579185031765,1000
20220120,97.93425744273334,97.93425744273334,97.93425744273334,97.93425744273334,1000
20220121,100.66096619469312,100.66096619469312,100.66096619469312,100.66096619469312,1000
20220124,101.3617210785321,101.3617210785321,101.3617210785321,101.3617210785321,1000
20220125,103.75800788904603,103.75800788904603,103.75800788904603,103.75800788904603,1000
20220126,102.40803137684532,102.40803137684532,102.40803137684532,102.40803137684532,1000
20220127,102.24859485705362,102.24859485705362,102.24859485705362,102.24859485705362,1000
20220128,104.28985361499998,104.28985361499998,104.28985361499998,104.28985361499998,1000
20220131,105.39835750983649,105.39835750983649,105.39835750983649,105.39835750983649,1000
20220201,105.50158168415238,105.50158168415238,105.50158168415238,105.50158168415238,1000
20220202,107.00732013913743,107.00732013913743,107.00732013913743,107.00732013913743,1000
20220203,107.67158327357713,107.67158327357713,107.67158327357713,107.67158327357713,1000
20220204,108.55939063874247,108.55939063874247,108.55939063874247,108.55939063874247,1000
20220207,108.0352016471285,108.0352016471285,108.0352016471285,108.0352016471285,1000
20220208,108.42754822935505,108.42754822935505,108.42754822935505,108.42754822935505,1000
20220209,109.01589412014907,109.01589412014907,109.01589412014907,109.01589412014907,1000
20220210,108.25568579135067,108.25568579135067,108.25568579135067,108.25568579135067,1000
20220211,104.91311269711572,104.91311269711572,104.91311269711572,104.91311269711572,1000
20220214,104.83560119937587,104.83560119937587,104.83560119937587,104.83560119937587,1000
20220215,108.7488772410978,108.7488772410978,108.7488772410978,108.7488772410978,1000
20220216,104.44441723744231,104.44441723744231,104.44441723744231,104.44441723744231,1000
20220217,103.06583561252233,103.06583561252233,103.06583561252233,103.06583561252233,1000
20220218,102.76594336768656,102.76594336768656,102.76594336768656,102.76594336768656,1000
20220221,103.23247307102275,103.23247307102275,103.23247307102275,103.23247307102275,1000
20220222,105.03459397627877,105.03459397627877,105.03459397627877,105.03459397627877,1000
20220223,106.7294281631112,106.7294281631112,106.7294281631112,106.7294281631112,1000
20220224,108.87011702253895,108.87011702253895,108.87011702253895,108.87011702253895,1000
20220225,111.19351538590172,111.19351538590172,111.19351538590172,111.19351538590172,1000
20220228,110.15421309690706,110.15421309690706,110.15421309690706,110.15421309690706,1000
20220301,110.11633553108042,110.11633553108042,110.11633553108042,110.11633553108042,1000
20220302,109.34568202994394,109.34568202994394,109.34568202994394,109.34568202994394,1000
20220303,110.1161634938926,110.1161634938926,110.1161634938926,110.1161634938926,1000
20220304,109.55047521192083,109.55047521192083,109.55047521192083,109.55047521192083,1000
20220307,108.0884229237584,108.0884229237584,108.0884229237584,108.0884229237584,1000
20220308,111.25095546059231,111.25095546059231,111.25095546059231,111.25095546059231,1000
20220309,111.05576091693618,111.05576091693618,111.05576091693618,111.05576091693618,1000
20220310,110.0472695114724,110.0472695114724,110.0472695114724,110.0472695114724,1000
20220311,111.46374898891564,111.46374898891564,111.46374898891564,111.46374898891564,1000
20220314,109.49501147607728,109.49501147607728,109.49501147607728,109.49501147607728,1000
20220315,108.72295331895938,108.72295331895938,108.72295331895938,108.72295331895938,1000
20220316,107.63259958828289,107.63259958828289,107.63259958828289,107.63259958828289,1000
20220317,104.49897704718897,104.49897704718897,104.49897704718897,104.49897704718897,1000
20220318,100.38840711735875,100.38840711735875,100.38840711735875,100.38840711735875,1000
20220321,100.35174188481058,100.35174188481058,100.35174188481058,100.35174188481058,1000
20220322,99.41417575198636,99.41417575198636,99.41417575198636,99.41417575198636,1000
20220323,98.47713742829336,98.47713742829336,98.47713742829336,98.47713742829336,1000
20220324,99.66282447581736,99.66282447581736,99.66282447581736,99.66282447581736,1000
20220325,98.36869538638985,98.36869538638985,98.36869538638985,98.36869538638985,1000
20220328,100.91689402596025,100.91689402596025,100.91689402596025,100.91689402596025,1000
20220329,98.39800546635048,98.39800546635048,98.39800546635048,98.39800546635048,1000
20220330,94.32427361851474,94.32427361851474,94.32427361851474,94.32427361851474,1000
20220331,94.05146331755084,94.05146331755084,94.05146331755084,94.05146331755084,1000
20220401,94.65917050957773,94.65917050957773,94.65917050957773,94.65917050957773,1000
20220404,97.06309260993457,97.06309260993457,97.06309260993457,97.06309260993457,1000
20220405,96.39275526537949,96.39275526537949,96.39275526537949,96.39275526537949,1000
20220406,95.89715526235427,95.89715526235427,95.89715526235427,95.89715526235427,1000
20220407,95.70094042433692,95.70094042433692,95.70094042433692,95.70094042433692,1000
20220408,99.21858111848056,99.21858111848056,99.21858111848056,99.21858111848056,1000
20220411,96.57613160544545,96.57613160544545,96.57613160544545,96.57613160544545,1000
20220412,97.11659745133345,97.11659745133345,97.11659745133345,97.11659745133345,1000
20220413,97.13204419517639,97.13204419517639,97.13204419517639,97.13204419517639,1000
20220414,95.78191303691868,95.78191303691868,95.78191303691868,95.78191303691868,1000
20220415,95.27937251146744,95.27937251146744,95.27937251146744,95.27937251146744,1000
20220418,95.48355143540404,95.48355143540404,95.48355143540404,95.48355143540404,1000
20220419,94.30648343848969,94.30648343848969,94.30648343848969,94.30648343848969,1000
20220420,94.35395016438703,94.35395016438703,94.35395016438703,94.35395016438703,1000
20220421,95.34068734987922,95.34068734987922,95.34068734987922,95.34068734987922,1000
20220422,96.4601981244966,96.4601981244966,96.4601981244966,96.4601981244966,1000
20220425,95.83443423634068,95.83443423634068,95.83443423634068,95.83443423634068,1000
20220426,95.4835279205776,95.4835279205776,95.4835279205776,95.4835279205776,1000
20220427,95.58211399555039,95.58211399555039,95.58211399555039,95.58211399555039,1000
20220428,96.84602663314543,96.84602663314543,96.84602663314543,96.84602663314543,1000
20220429,97.1312360856818,97.1312360856818,97.1312360856818,97.1312360856818,1000
20220502,98.94072827816571,98.94072827816571,98.94072827816571,98.94072827816571,1000
20220503,99.73599521239835,99.73599521239835,99.73599521239835,99.73599521239835,1000
20220504,97.41640209531516,97.41640209531516,97.41640209531516,97.41640209531516,1000
20220505,98.96001392038477,98.96001392038477,98.96001392038477,98.96001392038477,1000
20220506,98.04015474879809,98.04015474879809,98.04015474879809,98.04015474879809,1000
20220509,98.87895459768724,98.87895459768724,98.87895459768724,98.87895459768724,1000
20220510,98.91656262120313,98.91656262120313,98.91656262120313,98.91656262120313,1000
20220511,100.33816797113124,100.33816797113124,100.33816797113124,100.33816797113124,1000
20220512,100.4584859762953,100.4584859762953,100.4584859762953,100.4584859762953,1000
20220513,100.72272173341791,100.72272173341791,100.72272173341791,100.72272173341791,1000
20220516,98.27466397583645,98.27466397583645,98.27466397583645,98.27466397583645,1000
20220517,100.34038577277529,100.34038577277529,100.34038577277529,100.34038577277529,1000
20220518,100.42834352130623,100.42834352130623,100.42834352130623,100.42834352130623,1000
20220519,99.88279328316423,99.88279328316423,99.88279328316423,99.88279328316423,1000
20220520,101.8570579284438,101.8570579284438,101.8570579284438,101.8570579284438,1000
20220523,102.76553688698907,102.76553688698907,102.76553688698907,102.76553688698907,1000
20220524,103.18645245215808,103.18645245215808,103.18645245215808,103.18645245215808,1000
20220525,103.98083198522052,103.98083198522052,103.98083198522052,103.98083198522052,1000
20220526,104.12913925230094,104.12913925230094,104.12913925230094,104.12913925230094,1000
20220527,102.50913094468561,102.50913094468561,102.50913094468561,102.50913094468561,1000
20220530,100.60265071034861,100.60265071034861,100.60265071034861,100.60265071034861,1000
20220531,102.0413834817939,102.0413834817939,102.0413834817939,102.0413834817939,1000
20220601,103.7070843357035,103.7070843357035,103.7070843357035,103.7070843357035,1000
20220602,104.59941335546372,104.59941335546372,104.59941335546372,104.59941335546372,1000
20220603,105.1366310002173,105.1366310002173,105.1366310002173,105.1366310002173,1000
20220606,106.72029545378298,106.72029545378298,106.72029545378298,106.72029545378298,1000
20220607,108.62214305517188,108.62214305517188,108.62214305517188,108.62214305517188,1000
20220608,109.36502424375179,109.36502424375179,109.36502424375179,109.36502424375179,1000
20220609,111.0588843959216,111.0588843959216,111.0588843959216,111.0588843959216,1000
20220610,112.58625540712941,112.58625540712941,112.58625540712941,112.58625540712941,1000
20220613,111.74715142920215,111.74715142920215,111.74715142920215,111.74715142920215,1000
20220614,113.16768370616654,113.16768370616654,113.16768370616654,113.16768370616654,1000
20220615,111.49299859748318,111.49299859748318,111.49299859748318,111.49299859748318,1000
20220616,107.772080997605,107.772080997605,107.772080997605,107.772080997605,1000
20220617,108.92516934266826,108.92516934266826,108.92516934266826,108.92516934266826,1000
20220620,108.32319750863766,108.32319750863766,108.32319750863766,108.32319750863766,1000
20220621,111.53008502402261,111.53008502402261,111.53008502402261,111.53008502402261,1000
20220622,109.50402165778101,109.50402165778101,109.50402165778101,109.50402165778101,1000
20220623,111.10164682945849,111.10164682945849,111.10164682945849,111.10164682945849,1000
20220624,110.75588532252397,110.75588532252397,110.75588532252397,110.75588532252397,1000
20220627,111.26116570846357,111.26116570846357,111.26116570846357,111.26116570846357,1000
20220628,109.48843104762578,109.48843104762578,109.48843104762578,109.48843104762578,1000
20220629,113.48696438134176,113.48696438134176,113.48696438134176,113.48696438134176,1000
20220630,113.06721625827971,113.06721625827971,113.06721625827971,113.06721625827971,1000
20220701,116.5680047571329,116.5680047571329,116.5680047571329,116.5680047571329,1000
20220704,116.48301595601565,116.48301595601565,116.48301595601565,116.48301595601565,1000
20220705,114.41201826228242,114.41201826228242,114.41201826228242,114.41201826228242,1000
20220706,113.08448904201376,113.08448904201376,113.08448904201376,113.08448904201376,1000
20220707,115.37678269476048,115.37678269476048,115.37678269476048,115.37678269476048,1000
20220708,114.433049084367,114.433049084367,114.433049084367,114.433049084367,1000
20220711,114.63110837363817,114.63110837363817,114.63110837363817,114.63110837363817,1000
20220712,117.08864542916717,117.08864542916717,117.08864542916717,117.08864542916717,1000
20220713,119.04732705403968,119.04732705403968,119.04732705403968,119.04732705403968,1000
20220714,117.29156780256957,117.29156780256957,117.29156780256957,117.29156780256957,1000
20220715,116.83647950272429,116.83647950272429,116.83647950272429,116.83647950272429,1000
20220718,119.62774660257057,119.62774660257057,119.62774660257057,119.62774660257057,1000
20220719,118.70727057459627,118.70727057459627,118.70727057459627,118.70727057459627,1000
20220720,120.4770607248519,120.4770607248519,120.4770607248519,120.4770607248519,1000
20220721,120.91898959671963,120.91898959671963,120.91898959671963,120.91898959671963,1000
20220722,118.72061323814778,118.72061323814778,118.72061323814778,118.72061323814778,1000
20220725,119.32231025430073,119.32231025430073,119.32231025430073,119.32231025430073,1000
20220726,118.31096932815367,118.31096932815367,118.31096932815367,118.31096932815367,1000
20220727,118.58852543481662,118.58852543481662,118.58852543481662,118.58852543481662,1000
20220728,117.24105676249077,117.24105676249077,117.24105676249077,117.24105676249077,1000
20220729,118.43203983786137,118.43203983786137,118.43203983786137,118.43203983786137,1000
20220801,118.38528809385987,118.38528809385987,118.38528809385987,118.38528809385987,1000
20220802,120.06620511761463,120.06620511761463,120.06620511761463,120.06620511761463,1000
20220803,118.16211571826733,118.16211571826733,118.16211571826733,118.16211571826733,1000
20220804,117.91128582255404,117.91128582255404,117.91128582255404,117.91128582255404,1000
20220805,119.85436787978432,119.85436787978432,119.85436787978432,119.85436787978432,1000
20220808,122.13860658714437,122.13860658714437,122.13860658714437,122.13860658714437,1000
20220809,124.06802277161559,124.06802277161559,124.06802277161559,124.06802277161559,1000
20220810,125.73181340474562,125.73181340474562,125.73181340474562,125.73181340474562,1000
20220811,124.4133257575791,124.4133257575791,124.4133257575791,124.4133257575791,1000
20220812,125.29707993610992,125.29707993610992,125.29707993610992,125.29707993610992,1000
20220815,126.57397761201918,126.57397761201918,126.57397761201918,126.57397761201918,1000
20220816,127.1345349605657,127.1345349605657,127.1345349605657,127.1345349605657,1000
20220817,128.54677463173996,128.54677463173996,128.54677463173996,128.54677463173996,1000
20220818,127.76909478335953,127.76909478335953,127.76909478335953,127.76909478335953,1000
20220819,129.3543626863109,129.3543626863109,129.3543626863109,129.3543626863109,1000
20220822,128.91348470565302,128.91348470565302,128.91348470565302,128.91348470565302,1000
20220823,127.3542880287668,127.3542880287668,127.3542880287668,127.3542880287668,1000
20220824,124.59125909573304,124.59125909573304,124.59125909573304,124.59125909573304,1000
20220825,126.7231306619552,126.7231306619552,126.7231306619552,126.7231306619552,1000
20220826,124.5116461556582,124.5116461556582,124.5116461556582,124.5116461556582,1000
20220829,122.65536906475394,122.65536906475394,122.65536906475394,122.65536906475394,1000
20220830,119.82608578463876,119.82608578463876,119.82608578463876,119.82608578463876,1000
20220831,123.55802600614886,123.55802600614886,123.55802600614886,123.55802600614886,1000
20220901,127.12264678718395,127.12264678718395,127.12264678718395,127.12264678718395,1000
20220902,125.66328844891174,125.66328844891174,125.66328844891174,125.66328844891174,1000
20220905,122.28648905153526,122.28648905153526,122.28648905153526,122.28648905153526,1000
20220906,120.92411968991578,120.92411968991578,120.92411968991578,120.92411968991578,1000
20220907,119.80993199167307,119.80993199167307,119.80993199167307,119.80993199167307,1000
20220908,118.99402406408024,118.99402406408024,118.99402406408024,118.99402406408024,1000
20220909,119.72333347086803,119.72333347086803,119.72333347086803,119.72333347086803,1000
20220912,117.9226830866817,117.9226830866817,117.9226830866817,117.9226830866817,1000
20220913,117.7447543063097,117.7447543063097,117.7447543063097,117.7447543063097,1000
20220914,118.4833887626817,118.4833887626817,118.4833887626817,118.4833887626817,1000
20220915,119.17248266850096,119.17248266850096,119.17248266850096,119.17248266850096,1000
20220916,119.84456355515427,119.84456355515427,119.84456355515427,119.84456355515427,1000
20220919,118.83073697025897,118.83073697025897,118.83073697025897,118.83073697025897,1000
20220920,118.55407246437582,118.55407246437582,118.55407246437582,118.55407246437582,1000
20220921,119.85874516301726,119.85874516301726,119.85874516301726,119.85874516301726,1000
20220922,117.53536112061889,117.53536112061889,117.53536112061889,117.53536112061889,1000
20220923,119.24613845580141,119.24613845580141,119.24613845580141,119.24613845580141,1000
20220926,118.49961644295517,118.49961644295517,118.49961644295517,118.49961644295517,1000
20220927,120.21394292542855,120.21394292542855,120.21394292542855,120.21394292542855,1000
