<DATE>,<CLOSE>,<OPEN>,<HIGH>,<LOW>,<VOL>
20220103,100.71184123032756,100.71184123032756,100.71184123032756,100.71184123032756,1000
20220104,100.26235901786156,100.26235901786156,100.26235901786156,100.26235901786156,1000
20220105,103.96821299900121,103.96821299900121,103.96821299900121,103.96821299900121,1000
20220106,103.62705358211156,103.62705358211156,103.62705358211156,103.62705358211156,1000
20220107,103.84924528279784,103.84924528279784,103.84924528279784,103.84924528279784,1000
20220110,106.36626195065608,106.36626195065608,106.36626195065608,106.36626195065608,1000
20220111,104.96877029939695,104.96877029939695,104.96877029939695,104.96877029939695,1000
20220112,104.08970409784185,104.08970409784185,104.08970409784185,104.08970409784185,1000
20220113,104.43466241386842,104.43466241386842,104.43466241386842,104.43466241386842,1000
20220114,103.97013187985789,103.97013187985789,103.97013187985789,103.97013187985789,1000
20220117,102.16193853497097,102.16193853497097,102.16193853497097,102.16193853497097,1000
20220118,101.89906078200983,101.89906078200983,101.89906078200983,101.89906078200983,1000
20220119,101.40154532218848,101.40154532218848,101.40154532218848,101.40154532218848,1000
20220120,102.37014039078946,102.37014039078946,102.37014039078946,102.37014039078946,1000
20220121,99.86495592873996,99.86495592873996,99.86495592873996,99.86495592873996,1000
20220124,98.86603817558732,98.86603817558732,98.86603817558732,98.86603817558732,1000
20220125,100.62297320715992,100.62297320715992,100.62297320715992,100.62297320715992,1000
20220126,103.47663721642544,103.47663721642544,103.47663721642544,103.47663721642544,1000
20220127,101.18279885213668,101.18279885213668,101.18279885213668,101.18279885213668,1000
20220128,102.21210239133723,102.21210239133723,102.21210239133723,102.21210239133723,1000
20220131,100.75975853898711,100.75975853898711,100.75975853898711,100.75975853898711,1000
20220201,99.51509366366817,99.51509366366817,99.51509366366817,99.51509366366817,1000
20220202,98.26337413172367,98.26337413172367,98.26337413172367,98.26337413172367,1000
20220203,97.68974999803596,97.68974999803596,97.68974999803596,97.68974999803596,1000
20220204,99.19872423672376,99.19872423672376,99.19872423672376,99.19872423672376,1000
20220207,100.30839281669304,100.30839281669304,100.30839281669304,100.30839281669304,1000
20220208,100.44753697282631,100.44753697282631,100.44753697282631,100.44753697282631,1000
20220209,99.9503554978286,99.9503554978286,99.9503554978286,99.9503554978286,1000
20220210,100.00526149088411,100.00526149088411,100.00526149088411,100.00526149088411,1000
