<DATE>,<CLOSE>,<OPEN>,<HIGH>,<LOW>,<VOL>
20220103,102.69607851895151,102.69607851895151,102.69607851895151,102.69607851895151,1000
20220104,103.36384519956705,103.36384519956705,103.36384519956705,103.36384519956705,1000
20220105,104.93301894436746,104.93301894436746,104.93301894436746,104.93301894436746,1000
20220106,108.51264078170131,108.51264078170131,108.51264078170131,108.51264078170131,1000
20220107,111.60670184195425,111.60670184195425,111.60670184195425,111.60670184195425,1000
20220110,110.02644377853368,110.02644377853368,110.02644377853368,110.02644377853368,1000
20220111,111.64947974825567,111.64947974825567,111.64947974825567,111.64947974825567,1000
20220112,111.45182018469102,111.45182018469102,111.45182018469102,111.45182018469102,1000
20220113,111.33498716113688,111.33498716113688,111.33498716113688,111.33498716113688,1000
20220114,112.07636433884281,112.07636433884281,112.07636433884281,112.07636433884281,1000
20220117,112.37456071744364,112.37456071744364,112.37456071744364,112.37456071744364,1000
20220118,114.88209819542207,114.88209819542207,114.88209819542207,114.88209819542207,1000
20220119,116.25098340458115,116.25098340458115,116.25098340458115,116.25098340458115,1000
20220120,116.52128150112935,116.52128150112935,116.52128150112935,116.52128150112935,1000
20220121,117.35533483224087,117.35533483224087,117.35533483224087,117.35533483224087,1000
20220124,118.00138943586596,118.00138943586596,118.00138943586596,118.00138943586596,1000
20220125,120.70494122897861,120.70494122897861,120.70494122897861,120.70494122897861,1000
20220126,120.39383945703574,120.39383945703574,120.39383945703574,120.39383945703574,1000
20220127,121.01940771594037,121.01940771594037,121.01940771594037,121.01940771594037,1000
20220128,119.52948501225329,119.52948501225329,119.52948501225329,119.52948501225329,1000
20220131,115.01188638583679,115.01188638583679,115.01188638583679,115.01188638583679,1000
20220201,116.19700094360657,116.19700094360657,116.19700094360657,116.19700094360657,1000
20220202,117.76177285129685,117.76177285129685,117.76177285129685,117.76177285129685,1000
20220203,116.50967370945327,116.50967370945327,116.50967370945327,116.50967370945327,1000
20220204,120.53465410592779,120.53465410592779,120.53465410592779,120.53465410592779,1000
20220207,117.9653994800113,117.9653994800113,117.9653994800113,117.9653994800113,1000
20220208,118.10535100634749,118.10535100634749,118.10535100634749,118.10535100634749,1000
20220209,117.83279246720035,117.83279246720035,117.83279246720035,117.83279246720035,1000
20220210,120.60088368938705,120.60088368938705,120.60088368938705,120.60088368938705,1000
20220211,123.31927362283261,123.31927362283261,123.31927362283261,123.31927362283261,1000
20220214,123.6675533194441,123.6675533194441,123.6675533194441,123.6675533194441,1000
