<DATE>,<CLOSE>,<OPEN>,<HIGH>,<LOW>,<VOL>
20220103,100.16914266570932,100.16914266570932,100.16914266570932,100.16914266570932,1000
20220104,103.51008762314113,103.51008762314113,103.51008762314113,103.51008762314113,1000
20220105,103.35240219822627,103.35240219822627,103.35240219822627,103.35240219822627,1000
20220106,103.65292718556623,103.65292718556623,103.65292718556623,103.65292718556623,1000
20220107,104.39305755876158,104.39305755876158,104.39305755876158,104.39305755876158,1000
20220110,105.42142016605354,105.42142016605354,105.42142016605354,105.42142016605354,1000
20220111,107.06953145087064,107.06953145087064,107.06953145087064,107.06953145087064,1000
20220112,107.75624671583108,107.75624671583108,107.75624671583108,107.75624671583108,1000
20220113,107.26640831045724,107.26640831045724,107.26640831045724,107.26640831045724,1000
20220114,106.28078051905167,106.28078051905167,106.28078051905167,106.28078051905167,1000
20220117,107.61799101281173,107.61799101281173,107.61799101281173,107.61799101281173,1000
20220118,108.34405113304153,108.34405113304153,108.34405113304153,108.34405113304153,1000
20220119,109.33207263033052,109.33207263033052,109.33207263033052,109.33207263033052,1000
20220120,107.58001851432464,107.58001851432464,107.58001851432464,107.58001851432464,1000
20220121,106.02856908330858,106.02856908330858,106.02856908330858,106.02856908330858,1000
20220124,108.22153594762938,108.22153594762938,108.22153594762938,108.22153594762938,1000
20220125,109.22020614292751,109.22020614292751,109.22020614292751,109.22020614292751,1000
20220126,110.15497608994824,110.15497608994824,110.15497608994824,110.15497608994824,1000
20220127,113.62548604492271,113.62548604492271,113.62548604492271,113.62548604492271,1000
20220128,113.18747550611579,113.18747550611579,113.18747550611579,113.18747550611579,1000
20220131,114.26507416105676,114.26507416105676,114.26507416105676,114.26507416105676,1000
20220201,113.35462121302619,113.35462121302619,113.35462121302619,113.35462121302619,1000
20220202,111.42540775644842,111.42540775644842,111.42540775644842,111.42540775644842,1000
20220203,109.77296522318132,109.77296522318132,109.77296522318132,109.77296522318132,1000
20220204,111.28265011381986,111.28265011381986,111.28265011381986,111.28265011381986,1000
20220207,110.44734391659243,110.44734391659243,110.44734391659243,110.44734391659243,1000
20220208,108.26529287020877,108.26529287020877,108.26529287020877,108.26529287020877,1000
20220209,108.69309345741196,108.69309345741196,108.69309345741196,108.69309345741196,1000
20220210,110.20640810541136,110.20640810541136,110.20640810541136,110.20640810541136,1000
20220211,112.52750922179018,112.52750922179018,112.52750922179018,112.52750922179018,1000
20220214,116.74228605159098,116.74228605159098,116.74228605159098,116.74228605159098,1000
20220215,118.77576395339378,118.77576395339378,118.77576395339378,118.77576395339378,1000
20220216,117.375610038708,117.375610038708,117.375610038708,117.375610038708,1000
20220217,117.55307751753111,117.55307751753111,117.55307751753111,117.55307751753111,1000
20220218,119.51130534342995,119.51130534342995,119.51130534342995,119.51130534342995,1000
20220221,118.57873778230031,118.57873778230031,118.57873778230031,118.57873778230031,1000
20220222,119.84329224393181,119.84329224393181,119.84329224393181,119.84329224393181,1000
20220223,121.77545438430842,121.77545438430842,121.77545438430842,121.77545438430842,1000
20220224,118.6371392430128,118.6371392430128,118.6371392430128,118.6371392430128,1000
20220225,118.90763694066997,118.90763694066997,118.90763694066997,118.90763694066997,1000
20220228,120.99809468923222,120.99809468923222,120.99809468923222,120.99809468923222,1000
20220301,122.28748391543485,122.28748391543485,122.28748391543485,122.28748391543485,1000
20220302,122.91017516030003,122.91017516030003,122.91017516030003,122.91017516030003,1000
20220303,122.94347356138742,122.94347356138742,122.94347356138742,122.94347356138742,1000
20220304,126.81863083688731,126.81863083688731,126.81863083688731,126.81863083688731,1000
20220307,126.79592744322238,126.79592744322238,126.79592744322238,126.79592744322238,1000
20220308,123.81027974396714,123.81027974396714,123.81027974396714,123.81027974396714,1000
20220309,123.00349772148176,123.00349772148176,123.00349772148176,123.00349772148176,1000
20220310,123.33928060531352,123.33928060531352,123.33928060531352,123.33928060531352,1000
20220311,124.0537927900571,124.0537927900571,124.0537927900571,124.0537927900571,1000
20220314,123.64940682376182,123.64940682376182,123.64940682376182,123.64940682376182,1000
20220315,123.87097672833652,123.87097672833652,123.87097672833652,123.87097672833652,1000
20220316,123.61673487845628,123.61673487845628,123.61673487845628,123.61673487845628,1000
20220317,125.25589541214363,125.25589541214363,125.25589541214363,125.25589541214363,1000
20220318,123.21654154187318,123.21654154187318,123.21654154187318,123.21654154187318,1000
20220321,123.14163048515483,123.14163048515483,123.14163048515483,123.14163048515483,1000
20220322,120.59284712712281,120.59284712712281,120.59284712712281,120.59284712712281,1000
