<DATE>,<CLOSE>,<OPEN>,<HIGH>,<LOW>,<VOL>
20220103,98.98141400692411,98.98141400692411,98.98141400692411,98.98141400692411,1000
20220104,100.15003764378683,100.15003764378683,100.15003764378683,100.15003764378683,1000
20220105,100.13325788804642,100.13325788804642,100.13325788804642,100.13325788804642,1000
20220106,100.86194613847994,100.86194613847994,100.86194613847994,100.86194613847994,1000
20220107,102.94742075257763,102.94742075257763,102.94742075257763,102.94742075257763,1000
20220110,103.82093665148588,103.82093665148588,103.82093665148588,103.82093665148588,1000
20220111,105.97551370588205,105.97551370588205,105.97551370588205,105.97551370588205,1000
20220112,107.39751122953913,107.39751122953913,107.39751122953913,107.39751122953913,1000
20220113,109.83331750652236,109.83331750652236,109.83331750652236,109.83331750652236,1000
20220114,108.16597559088818,108.16597559088818,108.16597559088818,108.16597559088818,1000
20220117,106.93993206446781,106.93993206446781,106.93993206446781,106.93993206446781,1000
20220118,104.9696612192318,104.9696612192318,104.9696612192318,104.9696612192318,1000
20220119,105.90837359538065,105.90837359538065,105.90837359538065,105.90837359538065,1000
20220120,105.57477346832445,105.57477346832445,105.57477346832445,105.57477346832445,1000
20220121,107.07458037392384,107.07458037392384,107.07458037392384,107.07458037392384,1000
20220124,107.63782091735985,107.63782091735985,107.63782091735985,107.63782091735985,1000
20220125,107.8971795429752,107.8971795429752,107.8971795429752,107.8971795429752,1000
20220126,111.43143198951182,111.43143198951182,111.43143198951182,111.43143198951182,1000
20220127,112.50054190406085,112.50054190406085,112.50054190406085,112.50054190406085,1000
20220128,112.51161479804577,112.51161479804577,112.51161479804577,112.51161479804577,1000
20220131,110.90692782377269,110.90692782377269,110.90692782377269,110.90692782377269,1000
20220201,112.9432432434427,112.9432432434427,112.9432432434427,112.9432432434427,1000
20220202,114.61395155716055,114.61395155716055,114.61395155716055,114.61395155716055,1000
20220203,112.80216586029668,112.80216586029668,112.80216586029668,112.80216586029668,1000
20220204,112.61286465087939,112.61286465087939,112.61286465087939,112.61286465087939,1000
20220207,113.07095887143895,113.07095887143895,113.07095887143895,113.07095887143895,1000
20220208,110.34748639560779,110.34748639560779,110.34748639560779,110.34748639560779,1000
20220209,109.94228846715657,109.94228846715657,109.94228846715657,109.94228846715657,1000
20220210,112.30479172175703,112.30479172175703,112.30479172175703,112.30479172175703,1000
20220211,109.64017866630012,109.64017866630012,109.64017866630012,109.64017866630012,1000
20220214,110.50228788691223,110.50228788691223,110.50228788691223,110.50228788691223,1000
20220215,113.69482421418036,113.69482421418036,113.69482421418036,113.69482421418036,1000
20220216,112.69263895485742,112.69263895485742,112.69263895485742,112.69263895485742,1000
20220217,111.98196697522232,111.98196697522232,111.98196697522232,111.98196697522232,1000
20220218,112.40321792691881,112.40321792691881,112.40321792691881,112.40321792691881,1000
20220221,113.3266028117464,113.3266028117464,113.3266028117464,113.3266028117464,1000
20220222,114.05853626342524,114.05853626342524,114.05853626342524,114.05853626342524,1000
20220223,111.5272720399582,111.5272720399582,111.5272720399582,111.5272720399582,1000
20220224,110.30487631025116,110.30487631025116,110.30487631025116,110.30487631025116,1000
20220225,110.5275870160973,110.5275870160973,110.5275870160973,110.5275870160973,1000
20220228,110.05685117634663,110.05685117634663,110.05685117634663,110.05685117634663,1000
20220301,111.99109986388922,111.99109986388922,111.99109986388922,111.99109986388922,1000
